name	path	lifecycle	created_at_utc
ar-collections-assistant	projects/ar-collections-assistant	historical-local-project	unknown
snapog	projects/snapog	legacy-tracked-pending-reviewed-migration	unknown
tabledelta	projects/tabledelta	human-published-source-snapshot	2026-09-18T04:32:17Z
cuecheck	projects/cuecheck	human-published-source-snapshot	2026-09-18T05:31:45Z
scopefence	projects/scopefence	human-published-source-snapshot	2026-09-19T11:19:30Z
text-meter	projects/text-meter	human-published-source-snapshot	2026-09-19T10:39:29Z
scope-sheet	projects/scope-sheet	human-published-source-snapshot	2026-09-19T11:59:44Z
